name
Kirsten Johnson
"Akay Mason, Abosi Ogba"
Viridiana Lieberman
Nima Nourizadeh
Daniel Růžička
Juraj Šajmovič
Femi D. Ogunsanwo
Douglas Attal
Kim Joo-hyung
Avi Federgreen
"Jericca Cleland, Kevin Munroe"
Ahmed Siddiqui
Hallie Meyers-Shyer
Scott Speer
Barry Levinson
Tolulope Itegboje
Camille Delamarre
Pascal Atuma
Oleg Trofim
Mahmood Ali-Balogun
Jan Holoubek
"Anurin Nwunembom, Musing Derrick"
Christine Luby
Udoka Oyeka
Yeo Siew Hua
Hardik Mehta
"Rajveer Singh Maan, Harpeet Singh"
Youssef Chahine
"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath"
Rano Karno
Pramod Pawar
Naresh Saigal
Vinil Mathew
Neri Parenti
Ramsey Nouah
Bong Joon Ho
Kim Tae-hyung
"Michael Spierig, Peter Spierig"
Ernie Barbarash
Matt Ogens
Jay Roach
McG
Frank Marshall
Victor Vu
Chow Hin Yeung Roy
Joel Hopkins
"John Stevenson, Mark Osborne"
Jennifer Yuh Nelson
Greg Berlanti
Garth Davis
Malik Nejer
Rob Marshall
Martin Brest
Shuko Murase
Paul W.S. Anderson
Ivan Reitman
Joel Gallen
Claire McCarthy
Mary Lambert
"Sidharta Tata, Aco Tenriyagelli, Dian Sastrowardoyo, Ifa Isfansyah, Jason Iskandar"
Trevor Nunn
Gabriele Muccino
Jim Field Smith
Chris Koch
J.J. Abrams
Rob Minkoff
Lynn Shelton
Adam McKay
Anton Corbijn
Robin Bissell
David Fincher
John G. Avildsen
Alan Parker
Walter Hill
Stephen Frears
Bryan Bertino
Phil Alden Robinson
Florian Henckel von Donnersmarck
Len Wiseman
"Måns Mårlind, Björn Stein"
Patrick Tatopoulos
Robert O. Peters
Vincent Ward
Gregory Nava
Mary Harron
Matt Thompson
Jameel Buari
Shen Leping
Matt Aselton
Jose Javier Reyes
Jakub Piątek
John Dower
B. T Thomas
Andrew Dominik
Nibal Arakji
Sofie Šustková
Anissa Bonnefont
Bahij Hojeij
Jonathan Hensleigh
"Srijit Mukherji, Vasan Bala, Abhishek Chaubey"
Justin P. Lange
Kimmy Gatewood
Tània Balló
Manolo Caro
Anurin Nwunembom
Jayme Monjardim
Kingsley Ogoro
Cristina Jacob
Fernando Moro
Ivan Andrew Payawal
"Yoshiyuki Tomino, Yoshikazu Yasuhiko"
Yoshiyuki Tomino
Rob Seidenglanz
Simon Frederick
Michihito Fujii
Paul Weitz
Karthik Subbaraj
Lucky Kuswandi
Soudade Kaadan
Antoinette Jadaone
Marie Clements
David O. Russell
Achille Brice
Max Jabs
Sarawut Wichiensarn
Ricardo de Montreuil
Peter Chelsom
Michael Lockshin
Francine Parker
Daniel Schechter
Mike Gunther
David Zeiger
Michael Simon
Jerry Rothwell
"Joe Berlinger, Bruce Sinofsky"
"Ian Cheney, Sharon Shattuck"
Bradley Parker
Prabhakaran
Manjari Makijany
Jay Oliva
Chris Appelhans
Michael Tiddes
Lara Saba
"Bao Nhan, Namcito"
Mark Raso
Tariq Alkazim
Yulene Olaizola
Matthew Heineman
Robert Peters
Jonathan Clay
Ally Pankiw
George Ford
Lee Kae-byeok
Jayan Moodley
Daniel Benmayor
Alex Díaz
Helena Bergström
"Alejandro De Grazia, Juan Stadler"
Myriam Fares
Chiaki Kon
Rae Red
Lance Hool
Nicole Conn
Les Mayfield
"Ellen Seidler, Megan Siler"
Roger Christian
Peter Galison
Lance Young
Leandro Neri
Thom Fitzgerald
Don Michael Paul
Andrzej Bartkowiak
Harold Becker
Andrew Jenks
Ric Roman Waugh
Rob Reiner
Andy Tennant
Tade Ogidan
Scott Spiegel
Jessie Nelson
Theodore Witcher
Aurora Guerrero
Michael Jai White
James McTeigue
Takuya Igarashi
Michelle MacLaren
Hidenori Inoue
Todd Phillips
Steve Ball
Dominic Sena
Alan Alda
Mika Kaurismäki
Sydney Pollack
Lorene Scafaria
Barbra Streisand
Michael Winterbottom
Emma Tammi
Peter Hutchings
George Ratliff
Bo Burnham
Ekene Som Mekwunye
David Frankel
Kevin Johnson
"José Larraza, Marc Pons"
Gary Sing
Julio Quintana
Paween Purijitpanya
Pablo Faro
Letizia Lamartire
Ray Jiang
Daniel Vernon
Steve Gukas
Tim Johnson
Vishwesh Krishnamoorthy
Zack Snyder
Uduak-Obong Patrick
Mohamed Diab
Amr Salama
Christopher Amos
Robert Rodriguez
David Ayer
"Eshom Nelms, Ian Nelms"
James Moll
James Redford
Kaashvie Nair
J.D. Dillard
Nikhil Pherwani
Mae Czarina Cruz
Praveen Kandregula
Cecilia Verheyden
Daniel Minahan
Donovan Marsh
Brent Dawes
Leli Maki
Uzodinma Okpechi
Daniel Prochaska
Joe Wright
Matthew Vaughn
Aditya Kripalani
Adriano Rudiman
David Pablos
Alexandre Aja
Cai Cong
Samuel Olatunji
Ramon Térmens
Svetlana Cvetko
Martin Prakkat
Baran bo Odar
Zhang Chong
Yılmaz Erdoğan
Shantrelle P. Lewis
Ivan Ayr
Anthony Mandler
Vijay Roche
Stanley Menino D'Costa
Jennifer Brea
Julia von Heinz
Niels Arden Oplev
"Don Argott, Sheena M. Joyce"
Joshua Zeman
Duncan Skiles
Sean McNamara
Vondie Curtis-Hall
Robert Radler
Roel Reiné
Dean Parisot
Paul Greengrass
Justin Kelly
"Eric Darnell, Tom McGrath, Conrad Vernon"
Suhas Kadav
Jeff Wadlow
Charles Martin
Stella Corradi
Roland Emmerich
Kevin Macdonald
Ann Deborah Fishman
Chris Gorak
Peter Jackson
Roger Kumble
Jonathan Lynn
Courtney Hunt
"Pierre Greco, Nancy Florence Savard"
Andrew Davis
Kevin Smith
Chaitanya Tamhane
Oriol Paulo
"Mike Rianda, Jeff Rowe"
Johannes Roberts
"Robert Pulcini, Shari Springer Berman"
Pedro Antonio
John Wells
Jonathan Liebesman
Maria Pulera
Santhosh Viswanath
Seema Pahwa
Ozan Açıktan
Meltem Bozoflu
Hakan Algül
"Selçuk Aydemir, Birkan Pusa"
Selçuk Aydemir
Ömer Faruk Sorak
Şenol Sönmez
Alexis Morante
Burak Aksak
Kıvanç Baruönü
Rindala Kodeih
Kongkiat Khomsiri
Bedran Güzel
Marwan Nabil
"MIKIKO, Daito Manabe"
"Yılmaz Erdoğan, Ömer Faruk Sorak"
Takashi Shimizu
Joe Penna
Ahishor Solomon
Curtis Graham
Gerardo Gatica
"Akshay Sanjeev Chavan, Sumit Das"
John Madden
Edward James Olmos
Abhinay Deo
Kiran Rao
Abbas Tyrewala
Ashutosh Gowariker
Satyajit Bhatkal
"Anusha Rizvi, Mahmood Farooqui"
Aamir Khan
"Shashank Khaitan, Raj Mehta, Neeraj Ghaywan, Kayoze Irani"
Ryan Crego
Cassi Simonds
Guillermo del Toro
Tony Abulu
Stefan Westerwelle
Ron Howard
"Justin Benson, Aaron Moorhead"
Niki Caro
"Mark Dennis, Ben Foster"
Taranveer Singh
TT The Artist
"Keiichi Sato, Yasushi Kawamura"
Glenn Weiss
Michael Civille
Ryuichi Hiroki
One9
Luis Valdez
Cheng Wei-hao
Pass Patthanakumjon
Buchi Babu Sana
Fredrick Munk
"Moyoung Jin, Caroline Sá, Deepti Kakkar, Fahad Mustafa, Hikaru Toda, Chico Pereira, Elaine McMillion Sheldon"
Zhao Ji
Jamie Babbit
Park Hoon-jung
Dare Olaitan
Ben Falcone
"Travon Free, Martin Desmond Roe"
Angga Dwimas Sasongko
Steve Rolston
Shalini Kantayya
Madonne Ashwin
Enah Johnscott
Braden R. Duemmler
Cal Brunker
Steve Pink
Xiao Feng
Ricky Staub
"Patrick Durham, Paul G. Volk"
BB Sasore
Naseef Yusuf Izuddin
"Appie Boudellah, Aram van de Rest"
Sylvie Verheyde
Nick Moore
Alex Zamm
Rajkumar Hirani
Rajesh Mapuskar
Lina Al Abed
James Wan
David Hackl
Takeshi Nozue
Subhash Kapoor
Ringo Lam
George Cukor
Tony Giglio
"Shinji Aramaki, Masaru Matsumoto"
John Luessenhop
"Hanung Bramantyo, Pandu Adjisurya"
Bashir El Deek
Roman Polański
Nelson McCormick
Mic Rodgers
Bejoy Nambiar
Shawn Rech
Peyton Reed
Julian Schnabel
Adrián García Bogliano
Jose Gomez
Jonathon Link
Blair Simmons
Justin Chadwick
John Hillcoat
Nadine Ibrahim
Roman White
Fermín Muguruza
Mike Hodges
Eylem Kaftan
Fernando Ayllón
Umesh Bist
Massimiliano Camaiti
Aleksey Tsitsilin
Ali Tabrizi
Kagiso Lediga
Jung-ah Im
Takuma Sato
Brody Chu
Dimitri Logothetis
Taketoshi Sado
Li Weiran
Chinaza Onuzo
Anna Elizabeth James
Vitor Brandt
Troy Miller
Liam O'Donnell
"Manny Rodriguez, Jay Lavender"
Farah Nabulsi
Walter Taylaur
Chris Smith
Alain Brunard
Tate Taylor
Ladislaus Kiraly
Oliver Stone
Hemambar Jasti
Taylor Morden
Helena Coan
Muharrem Gülmez
Dolapo Adeleke
Mahsun Kırmızıgül
Can Ulkay
Luis Alejandro Pérez
Ketche
Erol Özlevi
Miguel Arteta
Tolga Örnek
Pablo Agüero
Mohammad Irfan Ramly
"Kevin McManus, Matthew McManus"
"Ange Basterga, Nicolas Lopez"
Gitanjali Rao
Halitha Shameem
Carlos Moreno
Maribel Sánchez-Maroto
Fajar Bustomi
Taylor Hackford
Amy Poehler
"Jared Hess, Tyler Measom"
Mike Binder
Abir Sengupta
Sunny Lau
Emmett Malloy
"Xavier Maingon, Marc-Antoine Hélard"
Milton Kremer
Kevin Costner
Marco Petry
"Andrew Duncan, Ken Cunningham"
Liam Lynch
"Jérémie Degruson, Ben Stassen"
Matt Ross
Dani de la Orden
Pablo Larraín
John Erick Dowdle
Jesse Peretz
Ribhu Dasgupta
Rizki Balki
Shunsuke Kariyama
Jeferson De
Barry Avrich
"David Tryhorn, Ben Nicholas"
Tirumala Kishore
Huang Hsin-Yao
Saron Sakina
J Blakeson
Khalid Rahman
Luis Ara
"Tharun Bhascker Dhaassyam, B. V. Nandini Reddy, Nag Ashwin, Sankalp Reddy"
Prateek Vats
Alex Merkin
Ian Cheney
Vikram Bhatt
Dallas Jenkins
Damián Romay
Hamisha Daryani Ahuja
Hong Khaou
Mario Briongos
Vinay Bharadwaj
Michael Fimognari
Eric D. Cabello Díaz
Clara Martínez-Lázaro
Monty Tiwa
Ava DuVernay
Alain Darborg
Filip Zylber
Joe Berlinger
Julien Royal
Brian Baugh
Henri Wong
Maïa Sandoz
Mostofa Sarwar Farooki
Joseph Hsu
Sam Levinson
Jo Sung-hee
Michèle Ohayon
Rocco Ricciardulli
Guo Jingming
Jan Belcl
Esteban Crespo
Noé González
Sarah Gavron
Martin Scorsese
Richard Arellano
Jon Favreau
Marco Pontecorvo
Gregory Plotkin
Lluís Quílez
Jude Weng
Simon Stone
Noviandra Santosa
Jeremy Grant
Jeo Baby
Glendyn Ivin
Okey Oku
Ifeanyi Ikpoenyi
Chris Eneng Enaji
Ángeles Reiné
Paul Haggis
Ramin Bahrani
Nicol Paone
Nick Rowland
RZA
Cooper Karl
Gary Fleder
J.A. Bayona
Darren Lynn Bousman
"Lydia Dean Pilcher, Ginny Mohler"
Cris D'Amato
Mikael Håfström
"Eric Darnell, Simon J. Smith"
Byeon Hee-sun
Peter Facinelli
Renuka Shahane
Ross Kauffman
Sung Do-jun
Hanung Bramantyo
"Charles Gozali, Bagus Bramanti"
James Toback
Tiller Russell
Francisco D'Eufemia
Chris Rock
Juliet May
Stanley Nelson
"Olivier Nakache, Éric Toledano"
Prakash Jha
Rohan Sippy
Ross Venokur
Rohena Gera
Maite Ruiz De Austri
Jastis Arimba
"Eric Summer, Éric Warin"
Kornél Mundruczó
"Alejandro Ruax, Ramiro Martínez"
Florent Bodin
Sohail Khan
Hallvard Bræin
Jeff Tremaine
Christian Alvart
Robert Townsend
Jeff Deverett
Ron Krauss
Brian Robbins
Jeff Stilson
Sean Penn
Mark McQueen
Melanie Mayron
Donald Petrie
Tony Collingwood
"Jennifer Beamish, Toby Trackman"
Jaume Collet-Serra
Kim Dong-kyu
Shaz Bennett
Samar Shaikh
Archie Hekagery
Sabrina Rochelle Kalangie
Cosima Spender
Liao Shih-han
"Arnon Manor, Timothy Ware-Hill"
Gore Verbinski
"Al Campbell, Alice Mathias"
Maïwenn
Richard Weston
Vikramaditya Motwane
Prime Cruz
Andibachtiar Yusuf
Yandy Laurens
Cathy Garcia-Molina
"John Mitchell, Jeremy Kipp Walker"
George Clooney
Liu Kuang-hui
Kristian Mercado
"Daan Jansen, Stijn Verlinde"
Jay Grace
Paul Dugdale
James Haslam
Muhammad Ali
Thomas Toby Parkinson
John Putch
Sam Macaroni
George C. Wolfe
Yasmin Ahmad
"Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran"
Juan Camilo Pinzon
Lin Oeding
Naya Anindita
Alexx Media
Farishad I. Latjuba
"Andrucha Waddington, Pedro Waddington"
Picky Talarico
Jun Lana
Brad Peyton
Lee Daniels
Tom Ford
"Ellena Wood, Jesse Vile"
Vir Das
Miranda de Pencier
Farhad Safinia
Shaun Paul Piccinino
Eddie Rosas
Frank E. Abney III
"James D. Stern, Fernando Villena"
Ryan Murphy
Girish Malik
Deepa Mehta
Lai Chun-yu
Theodore Boborol
Sydney Sibilia
Josiah Ng
Kirk Wise
"Beth Sleven, Allan Jacobsen, Kevin Wotton"
Jalil Lespert
"Su I-Hsuan, Chuang Shiang-an, Liu Yi"
Clint Butler
"Erik Kling, Kevin Peaty"
Detlev Buck
Amanda Raymond
Jason Paul Laxamana
Marc Fouchard
Darragh O'Connell
Roberto Santucci
Dado C. Lumibao
August Jakobsson
Anna Wieczur-Bluszcz
Damien O’Connor
Richard Laxton
Gil Kenan
Phil Burgers
Pierre Morel
Brian Henson
Derick Cabrido
Marla M. Ancheta
Jen McGowan
Bernie Denk
Brian Skiba
"Stanley Moore, Alex Woo"
Oliver Bokelberg
Ángel Gómez Hernández
Ludovico Di Martino
Lee Chung-hyun
Barry Gonzalez
Brian Volk-Weiss
Matthew Michael Carnahan
Eric Bress
Chris Columbus
V Vignarajan
"Greg Rankin, TJ Sullivan"
Carlos Sorín
Matt Eskandari
Grant Singer
Mohammad Adel
Debbie Allen
Victor Gatonye
Stephen Chiodo
"Will McCormack, Michael Govier"
Monica Floyd
Anurag Kashyap
Siddique
Danish Aslam
Vibhu Virender Puri
Mike Rohl
Shyam Benegal
Takeshi Fukunaga
Leslie Small
Jeff Nichols
"Sabaah Folayan, Damon Davis"
Justin G. Dyck
"Cody Cameron, Kris Pearn"
Michael Curtiz
Avinash Walzade
David E. Talbert
Renata Terra
Edoardo Ponti
Mateo Gil
Paul Soriano
Ryan Coogler
Anurag Basu
Lucas Santa Ana
Carla Barros
Ulrike Kofler
"Steven Bognar, Julia Reichert"
Kunle Afolayan
Weica Wang
"Aitor Arregi, Jon Garaño, Jose Mari Goenaga"
Kevin Pollak
Otoja Abit
Alejandro Hartmann
Maxwell McGuire
Ruel S. Bayani
Martin Wood
Narendra Nath
Jan-Peter Horns
Tatsushi Omori
Estela Renner
"Zeek Earl, Christopher Caldwell"
Michael Kampa
Chanda Bell
Jennifer Westcott
Richard Greenberg
Peter Berg
Nicolas Pesce
Christopher Cain
Juliana Vicente
Harald Zwart
Stacia Crawford
Remi Weekes
Tope Oshin
Terrie Samundra
Olivier Marchal
Santiago Alvarado Ilarri
Frasco Mortiz
John Whitesell
Antonio Díaz
Nimród Antal
Bartosz M. Kowalski
James Tovell
Matías Gueilburt
Natasha Lyonne
"Chang Chin-jung, Chen Rong-hui"
Rajkumar Santoshi
Lance Daly
Unjoo Moon
Gil Baroni
"Thierry Demaizière, Alban Teurlai"
Glen Keane
Chris Sivertson
"Kief Davidson, Pedro Kos"
Jarand Herdal
Dan Villegas
Chris Foggin
Kim Nguyen
Karen Maine
Tim Neeves
Ben Wheatley
Maroun Baghdadi
Philippe Aractingi
Amin Dora
Rana Eid
Daniel Joseph
Randa Chahal Sabbag
Ziad Doueiri
Shady Hanna
Josef Fares
"Sam Fell, Chris Butler"
Ross Boyask
"David 'Tosh' Gitonga, Michael Jones"
Ti West
Aaron Sorkin
Levan Gabriadze
Rachel Talalay
Sam Liu
Peter Mimi
Lasja Fauzia Susatyo
"Pavitra Chalam, Akshay Shankar"
"Kevin Ko, Peter Tsi"
Caroline Suh
Carlos Pérez Osorio
Ken Ghosh
Indra Kumar
B. Subhash
Harshavardhan Kulkarni
Neeraj Vora
Puneet Khanna
Radha Blank
"Bigflo & Oli, Jérémie Levypon"
Eduardo Pinto
Pavel Kostomarov
Mike Elliott
Francis Whately
Jon Izen
Christopher Nolen
"Alastair Fothergill, Jonnie Hughes, Keith Scholey"
Amy Segal
Umut Aral
Umut Kirca
Sudhir Mishra
Domenico de Feudis
Oz Rodriguez
Salvador Espinosa
Adrian Teh
Brad Silberling
"Elsa Flores Almaraz, Richard J Montoya"
Carey McKenzie
Adam Bolt
Taika Waititi
"Lindsey Cordero, Armando Croda"
David LaChapelle
Mostafa Abu Seif
Faris Godus
Rod Lurie
Stacie Passon
Jenny Popplewell
Florian Schott
Tom Whitworth
Joe Mantello
Lee Hirsch
Page Hurwitz
Dallas Jackson
Rajat Kapoor
Abhishek Chaubey
Imtiaz Ali
Navdeep Singh
Anees Bazmee
Rikhil Bahadur
Shawn Levy
Harry Bradbeer
"Joshua Tickell, Rebecca Harrell Tickell"
Sophia Nahli Allison
Norihisa Hiranuma
Shigeaki Kubo
"Shigeaki Kubo, Tsuyoshi Nakakuki"
Yudai Yamaguchi
Marwan Hamed
Smeep Kang
Raja Chanda
Tigmanshu Dhulia
Akashdeep
Rajesh Ganguly
Alankrita Shrivastava
Chandra Liow
Sekhar Kammula
Gary Andrews
Merawi Gerima
Kubhaer T. Jethwani
Antonio Campos
Carles Torras
James Watkins
Philippa Lowthorpe
Pailin Wedel
Chris Howe
Peter Sollett
Steve Bencich
Tosin Coker
Javier Colinas
Dean DeBlois
Reinhard Klooss
Shaun Mir
Satish Rajwade
Abhijeet Deshpande
Mahesh Manjrekar
Prakash Kunte
Manish Saini
Kenny Ortega
Makarand Mane
Vijay Maurya
Sameer Patil
"Kenzo Maihara, Amandha Wyanto"
Ahmed Nader Galal
Arati Kadav
Maïmouna Doucouré
Pepe Mora
Marcos Carnevale
Jeff Orlowski
Cho Il
"Pippa Ehrlich, James Reed"
Tolga Karaçelik
Davis Guggenheim
Philip Barantini
Charlie Kaufman
Abba T. Makama
"Junior Carelli, Rudge Campos"
Ertanto Robby Soediskam
Mark Steven Johnson
Felix Binder
Thor Freudenthal
Nguyen Thanh Tung
Baltasar Kormákur
Conrad Helten
Ayumu Watanabe
Hitoshi Namba
Chris Miller
Sean Anders
Abbas Mustan
Duncan McMath
"Dan Forgione, Pete Jacobs, Matt Whitlock"
Francesco Carnesecchi
Greg Tiernan
"Mark Thornton, Todd Kauffman"
Shamzu Zayba
Jesse V. Johnson
Brett Haley
"Chris Roland, Maradona Dias Dos Santos"
David Galán Galindo
David Moreton
Lester Hsi
Cyrus Nowrasteh
Isabel Sandoval
Nathan Wiley
Wayne Blair
Atul Sabharwal
Bernardo Arellano
Trish Sie
Hong Won-ki
Khaled Marei
Fred Wolf
Niyi Akinmolayan
Sammaria Sari Simanjuntak
Chairun Nissa
Tom Hooper
Sergei Bodrov
Anna Stone
Cory Edwards
Faraday Okoro
"Henry Joost, Ariel Schulman"
Rebecca Zlotowski
Sharan Sharma
Tyler Spindel
Vicky Wight
Marc Meyers
Franziska Meyer Price
Steven Rinella
Laura Terruso
Martín Sastre
Franck Nataf
Pascal Amanfo
Savage Steve Holland
Mike Doyle
Darren Grant
Joseph Ruben
Mfanelo Ngoma
Colin Minihan
"Regina Welker, Nina Wels"
Honey Trehan
"Katleho Ramaphakela, Rethabile Ramaphakela"
Ariel Boles
Álvaro Delgado-Aparicio L.
Venkatesh Maha
Nopparoj Chotmunkongsit
Aniedi Anwah
Mickey Fonseca
Matias Mariani
Jan Komasa
Sue Kim
Paul Solet
Ben Kasulke
Gagan Puri
Teddy Chan
Bhavin Wadia
"Tony Bancroft, Scott Christian Sava"
Tope Alake
Fernando González Molina
Yuki Tanada
Alex Gibney
Ahn Byoung-wook
Sibusiso Khuzwayo
"Lisa Cortés, Farah X"
Wilson Yip
"Dave Skinner, Freddie Waters"
Denis Do
"Leslye Davis, Catrin Einhorn"
"Toka McBaror, Tunde Apalowo"
Peter Sullivan
Axelle Laffont
Daniel Oriahi
Stefano Mordini
Hayden Guppy
Stéphane de Freitas
"André Odendaal, Johan Vorster"
Cassia Dian
Amro Salah
Sue Ding
Gina Prince-Bythewood
Wouter Bouvijn
Funke Akindele
Bryn Evans
"Cristina Costantini, Kareem Tabsch"
Hannah Fidell
"Chris Renaud, Kyle Balda"
Scott Zabielski
"Coodie, Chike"
QLF
Sachin Kundalkar
Puri Jagannadh
Vishal Mahadkar
"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar"
Anthony D'Souza
Soumendra Padhi
Fuwad Khan
Nishikant Kamat
Krish
Kabir Sadanand
Rachit Kusonkoonsiri
Shoojit Sircar
Omung Kumar
Umesh Shukla
Devika Bhagat
Takashi Doscher
Shubham Singh
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla"
Luv Ranjan
Vikas Bahl
Neeraj Pandey
Aanand Rai
Gurmmeet Singh
LP
Rako Prijanto
Raoul Peck
Shirley Frimpong-Manso
"Fabio Ock, Joana Mazzucchelli"
"Sabina Fedeli, Anna Migotto"
Kyran Kelly
Salvador Calvo
Cem Yılmaz
Bruce Beresford
